accession	cluster
An-2	1
Ang-0	1
Bs-2	1
Bsch-0	1
Bu-0	1
CAM-16	1
Can-0	1
Di-1	1
Do-0	1
DraIV 1-5	1
Fr-4	1
Gd-1	1
Ge-1	1
Gr-1	1
Gr-5	1
Gu-1	1
Ha-0	1
Hs-0	1
Ka-0	1
Kelsterbach-2	1
Kro-0	1
LDV-25	1
LDV-34	1
Li-6	1
Lip-0	1
Lm-2	1
MIB-15	1
MNF-Pot-48	1
MNF-Pot-68	1
Map-42	1
Mc-0	1
Mh-0	1
N7	1
Nok-1	1
PHW-10	1
PHW-26	1
PHW-28	1
PHW-33	1
Paw-3	1
Per-1	1
Pn-0	1
Pr-0	1
Rou-0	1
Rsch-4	1
Sap-0	1
Sei-0	1
Si-0	1
Sp-0	1
TOU-A1-43	1
TOU-A1-62	1
TOU-A1-96	1
TOU-E-11	1
TOU-I-17	1
TOU-I-2	1
TOU-I-6	1
TOU-J-3	1
Tiv-1	1
Ty-0	1
UKID48	1
UKSE06-272	1
UKSE06-482	1
VOU-1	1
VOU-2	1
Ven-1	1
Wt-3	1
ALL1-2	2
Belmonte-4-94	2
Bla-1	2
Blh-1	2
Chat-1	2
Co-2	2
Db-0	2
Fi-1	2
Ge-0	2
Hi-0	2
JEA	2
Köln	2
KBS-Mac-8	2
Kelsterbach-4	2
LAC-3	2
LAC-5	2
LDV-14	2
Liarum	2
MIB-22	2
SLSP-30	2
TOU-C-3	2
TOU-H-12	2
TOU-H-13	2
Tha-1	2
Ws	2
Aa-0	3
Amel-1	3
Ann-1	3
App1-16	3
Ba-1	3
Baa-1	3
Be-1	3
Benk-1	3
Blh-2	3
Bor-1	3
Brö1-6	3
CAM-61	3
CUR-3	3
Ca-0	3
Cit-0	3
Co-4	3
Com-1	3
Da-0	3
Dra3-1	3
DraIV 6-35	3
Duk	3
Ede-1	3
Ep-0	3
Es-0	3
Fjä1-5	3
HSm	3
Hey-1	3
Hh-0	3
Hov4-1	3
In-0	3
Jm-1	3
Kl-5	3
Kr-0	3
Li-3	3
Lis-1	3
MNF-Che-2	3
MOG-37	3
N4	3
Nw-0	3
Nw-2	3
Old-1	3
Ors-1	3
Ors-2	3
Ost-0	3
PHW-13	3
PHW-14	3
PHW-20	3
PHW-22	3
PHW-31	3
Pa-2	3
Pla-0	3
Pu2-24	3
RRS-7	3
Rak-2	3
S96	3
Sav-0	3
Sh-0	3
St-0	3
Ste-0	3
Ste-3	3
Tottarp-2	3
Tscha-1	3
UKID101	3
UduI 1-34	3
Uk-1	3
Utrecht	3
Wc-2	3
Wl-0	3
Zu-1	3
